brand,name,latitude,longitude,address,place_id,rating,user_ratings_total,geometry,index_right,population,city
Old Navy,T.J. Maxx,36.1990966,-115.2414751,"2190 N Rainbow Blvd, Las Vegas",ChIJz-fhLljqyIARfMRy7EIHJbQ,4.3,933.0,POINT (-115.2414751 36.1990966),7,,las vegas
Levi’s,Levi’s Outlet Store,36.1645965,-115.1572337,"755 S Grand Central Pkwy Suite 1423, Las Vegas",ChIJm2BhqJfDyIARrxeNdV9qLZQ,4.4,948.0,POINT (-115.1572337 36.1645965),7,,las vegas
Adidas,adidas Store,36.102867,-115.17251,"3791 S Las Vegas Blvd, Las Vegas",ChIJnRuRNzPEyIARDnBfZAnNdtQ,4.3,402.0,POINT (-115.17251 36.102867),7,,las vegas
Puma,PUMA,36.1651064,-115.1569091,"755 S Grand Central Pkwy Suite 1415, Las Vegas",ChIJWb1YVZbDyIAR6fl7G9EXUlY,4.5,312.0,POINT (-115.1569091 36.1651064),7,,las vegas
Under Armour,Under Armour Factory House,36.1656231,-115.155844,"525 S Grand Central Pkwy Suite 3351, Las Vegas",ChIJsf2L5pbDyIARSa6s2zOQEyE,4.4,513.0,POINT (-115.155844 36.1656231),7,,las vegas
Under Armour,Under Armour Brand House,36.1273947,-115.1707714,"3200 Las Vegas Blvd S Space 1040, Las Vegas",ChIJFycCohbEyIARqYBbBWRINog,4.6,207.0,POINT (-115.1707714 36.1273947),7,,las vegas
Under Armour,Burlington,36.1430536,-115.2233775,"5959 W Sahara Ave, Las Vegas",ChIJ8c0ElzrByIARga9qbTrMeFc,4.1,1399.0,POINT (-115.2233775 36.1430536),7,,las vegas
Under Armour,Walmart @Nellis&Bldr.Hwy.,36.1085904,-115.0630947,"5198 Boulder Hwy, Las Vegas",ChIJy5sTO3LbyIARW5FPhLbycNE,3.9,621.0,POINT (-115.0630947 36.1085904),7,,las vegas
Under Armour,DICK'S Sporting Goods,36.1269033,-115.1734232,"3200 S Las Vegas Blvd Ste D700, Las Vegas",ChIJE54PohbEyIARVyYzkgX3jTY,4.0,610.0,POINT (-115.1734232 36.1269033),7,,las vegas
Under Armour,Walmart Supercenter,36.0804977,-115.1217236,"6005 S Eastern Ave, Las Vegas",ChIJJ4CJ5WbFyIARg0LFs7g5Vu8,4.2,9720.0,POINT (-115.1217236 36.0804977),7,,las vegas
Under Armour,Big 5 Sporting Goods,36.1948551,-115.2529026,"7351 W Lake Mead Blvd, Las Vegas",ChIJgVy8RzvAyIARwiEUmhJxKAk,4.3,418.0,POINT (-115.2529026 36.1948551),7,,las vegas
Under Armour,Big 5 Sporting Goods,36.2407335,-115.1720502,"2020 W Craig Rd #100, North Las Vegas",ChIJZYzUAuzpyIAR3pvXXFEkJCo,4.3,752.0,POINT (-115.1720502 36.2407335),7,,las vegas
Under Armour,C-A-L Ranch Stores,36.1757399,-115.2216541,"232 N Jones Blvd, Las Vegas",ChIJ2SrpqqfByIARdGBwABOa-34,4.3,414.0,POINT (-115.2216541 36.1757399),7,,las vegas
Under Armour,Big 5 Sporting Goods,36.0990252,-115.1048161,"3265 E Tropicana Ave UNIT 39, Las Vegas",ChIJEZ9G6zfFyIARD0NCjfu0iBE,4.3,503.0,POINT (-115.1048161 36.0990252),7,,las vegas
Under Armour,DICK'S Sporting Goods,36.1577809,-115.2877396,"8825 W Charleston Blvd, Las Vegas",ChIJQx68Z6u_yIARSItirO2GjT0,4.0,106.0,POINT (-115.2877396 36.1577809),7,,las vegas
Under Armour,Big 5 Sporting Goods,36.1171506,-115.262461,"Parking lot, 3975 S Buffalo Dr #103, Las Vegas",ChIJnettmEnHyIAR_R9FIUrakvQ,4.3,450.0,POINT (-115.262461 36.1171506),7,,las vegas
Under Armour,Big 5 Sporting Goods,36.283531,-115.285964,"6720 N Durango Dr Suite 110, Las Vegas",ChIJJR7bS1STyIARkXH9xhf3BJc,4.4,441.0,POINT (-115.285964 36.283531),7,,las vegas
Under Armour,Big 5 Sporting Goods,36.1578209,-115.2071998,"1140 S Decatur Blvd, Las Vegas",ChIJdWfLjGnByIARCkjoKvo0PdM,4.4,684.0,POINT (-115.2071998 36.1578209),7,,las vegas
Under Armour,Walmart Supercenter,36.1564681,-115.2018088,"4505 W Charleston Blvd, Las Vegas",ChIJbay1ukLByIARYRQnivafuCY,3.9,15977.0,POINT (-115.2018088 36.1564681),7,,las vegas
Under Armour,Walmart Supercenter,36.1231819,-115.2465049,"3615 S Rainbow Blvd, Las Vegas",ChIJLXuPxy3HyIARQv82EixelDA,3.9,8159.0,POINT (-115.2465049 36.1231819),7,,las vegas
Skechers,SKECHERS Warehouse Outlet,36.103037,-115.1725281,"3785 S Las Vegas Blvd #1500, Las Vegas",ChIJIXA-RjPEyIARNoArD4C6apM,4.4,489.0,POINT (-115.1725281 36.103037),7,,las vegas
Skechers,SKECHERS Warehouse Outlet,36.23703709999999,-115.1702034,"1925 W Craig Rd #102, North Las Vegas",ChIJ33M-FOnpyIARb6GeIJkjVac,4.4,322.0,POINT (-115.1702034 36.23703709999999),7,,las vegas
Skechers,SKECHERS Warehouse Outlet,36.1576393,-115.2054259,"1191 S Decatur Blvd, Las Vegas",ChIJ7WRD8mnByIARxwAlEj8hglk,4.4,1112.0,POINT (-115.2054259 36.1576393),7,,las vegas
Skechers,SKECHERS Warehouse Outlet,36.1141162,-115.1336089,"1495 E Flamingo Rd, Las Vegas",ChIJF8XcUfzEyIARYRMMCav0bzo,4.4,1798.0,POINT (-115.1336089 36.1141162),7,,las vegas
Skechers,SKECHERS Warehouse Outlet,36.1671956,-115.0627704,"305 N Nellis Blvd #105, Las Vegas",ChIJD8UOQ2TbyIARzAMG_gegtYc,4.4,560.0,POINT (-115.0627704 36.1671956),7,,las vegas
Skechers,SKECHERS Retail,36.1285927,-115.1741869,"3200 Las Vegas Blvd S #1120, Las Vegas",ChIJfVxGHxTEyIARjuNPrgPqf2Y,4.5,68.0,POINT (-115.1741869 36.1285927),7,,las vegas
Skechers,SKECHERS Warehouse Outlet,36.1449598,-115.3343633,"11035 Lavender Hill Dr #3300, Las Vegas",ChIJG_UE4_6-yIARnCNH3MI1iOQ,4.3,260.0,POINT (-115.3343633 36.1449598),7,,las vegas
Skechers,SKECHERS Factory Outlet,36.1625622,-115.1590402,"875 S Grand Central Pkwy #1585, Las Vegas",ChIJl8rr6pbDyIARKQbETe_Tv0Y,4.3,535.0,POINT (-115.1590402 36.1625622),7,,las vegas
Skechers,SKECHERS Warehouse Outlet,36.2698997,-115.2635461,"7751 W Tropical Pkwy, Las Vegas",ChIJB886EFvryIARlXbdngz2hVQ,4.2,191.0,POINT (-115.2635461 36.2698997),7,,las vegas
Skechers,SKECHERS Retail,36.1216966,-115.1692733,"3377 Las Vegas Blvd S #2100, Las Vegas",ChIJTVVVVRHEyIAR178USLVFhGI,3.8,71.0,POINT (-115.1692733 36.1216966),7,,las vegas
Skechers,Famous Footwear Outlet,36.1629499,-115.1579395,"855 S Grand Central Pkwy, Las Vegas",ChIJRy23vpbDyIARsJHrquNh3Ds,4.2,312.0,POINT (-115.1579395 36.1629499),7,,las vegas
Coach,COACH Outlet,36.1649266,-115.1587414,"785 S Grand Central Pkwy SUITE #2111, Las Vegas",ChIJb1M7qpfDyIARFPwQJgMqKd0,4.6,651.0,POINT (-115.1587414 36.1649266),7,,las vegas
Coach,COACH,36.1275313,-115.1711993,"3200 S Las Vegas Blvd Space 2022, Las Vegas",ChIJMRFy9hTEyIARFWYw80aZyRE,4.5,84.0,POINT (-115.1711993 36.1275313),7,,las vegas
Sip & Savor,Savor Cafe,37.7641102,-122.4622194,"401 Irving St, San Francisco",ChIJR5NSy2yHhYARK0Vgr_6ujeU,4.8,250.0,POINT (-122.4622194 37.7641102),15,873965.0,san francisco
Sip & Savor,Ocean Beach Cafe,37.7745416,-122.5099581,"734 La Playa St, San Francisco",ChIJg4qwGKeHhYARo41FFI_aOss,4.7,506.0,POINT (-122.5099581 37.7745416),15,873965.0,san francisco
Sip & Savor,Philz Coffee,37.72347389999999,-122.4535697,"1110 Ocean Ave, San Francisco",ChIJwcztMdN9j4AR6AhRdPvXpQo,4.4,553.0,POINT (-122.4535697 37.72347389999999),15,873965.0,san francisco
Sip & Savor,Rise & Grind Coffee and Tea,37.7737079,-122.4660583,"785 8th Ave, San Francisco",ChIJibk3D0GHhYARYgBEhDfLS5A,4.5,422.0,POINT (-122.4660583 37.7737079),15,873965.0,san francisco
Sip & Savor,Yo También Cantina,37.76516,-122.4603258,"205 Hugo St, San Francisco",ChIJsRthmMCHhYARC4DrJyz7kWE,4.8,159.0,POINT (-122.4603258 37.76516),15,873965.0,san francisco
Sip & Savor,Compton’s Coffee House,37.7874251,-122.4333759,"1910 Fillmore St, San Francisco",ChIJ844xLVCBhYARnhgW3uG5GqU,4.7,270.0,POINT (-122.4333759 37.7874251),15,873965.0,san francisco
Sip & Savor,Tartine Inner Sunset,37.7653525,-122.4662888,"1226 9th Ave, San Francisco",ChIJ0Q91SDiHhYARqyW_QFvhdSI,4.3,586.0,POINT (-122.4662888 37.7653525),15,873965.0,san francisco
Sip & Savor,Andytown Coffee Roasters,37.772769,-122.5106982,"800 Great Hwy, San Francisco",ChIJIWto0vGHhYAR1koqXLM7-Io,4.2,166.0,POINT (-122.5106982 37.772769),15,873965.0,san francisco
Krispy Kreme,Krispy Kreme,37.6887842,-122.4716054,"1575 Sullivan Ave, Daly City",ChIJreoxhXJ8j4ARWk3_hHS7_cE,4.3,1428.0,POINT (-122.4716054 37.6887842),15,873965.0,san francisco
Krispy Kreme,Johnny Doughnuts,37.7889981,-122.4342317,"2404 California St, San Francisco",ChIJVSvIaJiAhYARwg6LgKkXkB0,4.4,459.0,POINT (-122.4342317 37.7889981),15,873965.0,san francisco
Krispy Kreme,Johnny Doughnuts,37.9475397,-122.5091289,"2257 Larkspur Landing Cir, Larkspur",ChIJ4QGpYz2bhYARJ2Cs38qY0_0,4.5,206.0,POINT (-122.5091289 37.9475397),15,873965.0,san francisco
